resultPosition,trapNumber,raceTime,raceDate,raceId,raceNumber,raceClass,raceDistance,meetingId,trackName,dogId,dogName,dogSire,dogDam,trainerName,ownerName
1,6,20:53:00,27/01/2018,407079,10,D2,285.0,334826,Hove,478781,Forest Lawman,Romeo Recruit,Forest Mollie,J J Heath,"Mr P L Banfield,mr D V Durrant"
1,1,20:51:00,27/01/2018,407373,6,A1,380.0,334742,Crayford,468348,Yahoo Esther,Droopys Jet,Yahoo Stacey,B D O'sullivan,Mr B D O'sullivan
1,2,20:50:00,27/01/2018,407155,6,A7,480.0,334761,Perry Barr,476225,Jays Steel,Archaton Pine,Crokers Duchess,D Welding,Mr D Welding
1,1,20:48:00,27/01/2018,407744,9,A5,400.0,334802,Romford,481685,Pacey Karnage,Blackstone Gene,Droopys Donna,R Pattinson,Pacey Syndicate
1,4,20:47:00,27/01/2018,407508,6,D1,290.0,334832,Newcastle,481497,Airfield Shamie,Tullymurry Act,Airfield Mistake,D Calvert,Mr S L Walker
1,1,20:45:00,27/01/2018,407349,8,A9,480.0,334811,Swindon,501530,Snaffi Dude,Kinloch Brae,Snaffi Tango,M W Jeans,Mr M W Jeans
1,1,20:45:00,27/01/2018,407167,6,A5,450.0,334746,Poole,471045,Spoton Goldfinch,Kinloch Brae,Legends Light,K Dodington,Mr R W Smith
1,3,20:45:00,27/01/2018,407288,8,A5,470.0,334744,Belle Vue,496768,Aggressive Mood,Scolari Me Daddy,Hello The House,E Upton,Mr C Ball
1,3,20:45:00,27/01/2018,407062,6,A3,500.0,334818,Nottingham,466248,Leos Electra,Mall Brandy,Droopys Darjina,J A White,"Mr A F Johnson,mrs J A White,mr S T Whiting"
1,2,20:45:00,27/01/2018,407302,6,A7,435.0,334709,Peterborough,489679,Beaming Nikita,Kinloch Brae,Rallying Gale,J A Danahar,Mr J A Danahar
1,6,20:45:00,27/01/2018,407143,5,A5,480.0,334774,Towcester,493461,Aghaburren Brae,Kinloch Brae,Forest Tivoli,M J Dartnall,Mr D Madden
1,5,20:45:00,27/01/2018,407050,4,HP,480.0,334800,Shawfield,490768,Kendlea The Pyro,Crash,Tried Before,K Blackbird,Mr A Proctor
1,5,20:43:00,27/01/2018,407180,6,S1,659.0,334794,Yarmouth,478962,Dark Crystal,Quail Hollow,Pride And Glory,S Clayton,The Duke Of Wellington (Norwich) Ph
1,1,20:43:00,27/01/2018,407025,5,A5,462.0,334785,Kinsley,472995,Gabbys Delilah,Cashen Legend,Brickhill Elsie,K Dobson,"Mrs M E Adams,mr D J Nugent"
